variant,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,0x00,754.8206,359.736,28.076913897932,as-committed_code0x00.log
as-committed,0x80,754.8997,387.091,39.120340033995575,as-committed_code0x80.log
as-committed,0xFF,754.8997,468.609,58.98699277822248,as-committed_code0xFF.log
pre-22,0x00,914.3975,470.394,29.51232360853083,pre-22_code0x00.log
pre-22,0x80,914.9895,502.228,42.03897433310422,pre-22_code0x80.log
pre-22,0xFF,914.9895,605.57,65.93320373063253,pre-22_code0xFF.log
