variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,rc_f,-40.0,3.6,0x00,785.245,284.497,35.067294137449764,rc_f_T-040C_V3p6_code0x00.log
as-committed,rc_f,27.0,3.0,0x00,560.7466,284.588,35.614564932474785,rc_f_T+027C_V3p0_code0x00.log
as-committed,rc_f,27.0,3.3,0x00,678.9021,318.728,36.505876533474975,rc_f_T+027C_V3p3_code0x00.log
as-committed,rc_f,27.0,3.6,0x00,809.2828,355.258,37.14834448402807,rc_f_T+027C_V3p6_code0x00.log
as-committed,rc_f,85.0,3.0,0x00,620.1495,337.596,38.78043294475339,rc_f_T+085C_V3p0_code0x00.log
as-committed,rc_f,85.0,3.3,0x00,740.5773,385.183,38.46065090805597,rc_f_T+085C_V3p3_code0x00.log
as-committed,rc_f,85.0,3.6,0x00,862.2224,427.038,38.57012820710616,rc_f_T+085C_V3p6_code0x00.log
as-committed,rc_s,-40.0,3.0,0x00,119.6174,135.945,20.04733175026237,rc_s_T-040C_V3p0_code0x00.log
as-committed,rc_s,-40.0,3.3,0x00,546.081,160.808,20.440367272519154,rc_s_T-040C_V3p3_code0x00.log
as-committed,rc_s,-40.0,3.6,0x00,693.0875,189.544,20.723713523673737,rc_s_T-040C_V3p6_code0x00.log
as-committed,rc_s,27.0,3.0,0x00,434.3003,172.056,21.434067735940857,rc_s_T+027C_V3p0_code0x00.log
as-committed,rc_s,27.0,3.3,0x00,546.8611,196.289,21.76531979240238,rc_s_T+027C_V3p3_code0x00.log
as-committed,rc_s,27.0,3.6,0x00,671.4269,223.449,22.021896371562242,rc_s_T+027C_V3p6_code0x00.log
as-committed,rc_s,85.0,3.0,0x00,463.271,206.55,22.3001488534936,rc_s_T+085C_V3p0_code0x00.log
as-committed,rc_s,85.0,3.3,0x00,564.1592,231.189,22.62914452782027,rc_s_T+085C_V3p3_code0x00.log
as-committed,rc_s,85.0,3.6,0x00,674.6675,257.71,22.86686454126783,rc_s_T+085C_V3p6_code0x00.log
as-committed,tt,-40.0,3.0,0x80,445.0769,183.51,33.725845970688866,tt_T-040C_V3p0_code0x80.log
as-committed,tt,-40.0,3.3,0x80,578.5792,214.343,35.592825198296524,tt_T-040C_V3p3_code0x80.log
as-committed,tt,-40.0,3.6,0x80,727.6642,249.78,37.11277458814099,tt_T-040C_V3p6_code0x80.log
as-committed,tt,27.0,3.0,0x80,480.3706,234.266,36.35319308271442,tt_T+027C_V3p0_code0x80.log
as-committed,tt,27.0,3.3,0x80,595.0516,265.142,38.181200340576304,tt_T+027C_V3p3_code0x80.log
as-committed,tt,27.0,3.6,0x80,722.0697,299.318,39.71327018923373,tt_T+027C_V3p6_code0x80.log
as-committed,tt,85.0,3.0,0x80,525.509,282.746,38.256864237865884,tt_T+085C_V3p0_code0x80.log
as-committed,tt,85.0,3.3,0x80,629.4051,315.133,39.917769395046214,tt_T+085C_V3p3_code0x80.log
