basis,process,temp_c,vdd_v,trim_code,trim_hex,status,f_mhz,period_ns,vh_v,vl_v,t_cmp_h_ns,t_lat_h_ns,t_cmp_l_ns,t_lat_l_ns,t_fall_ns,charge_ns,dsum_ns,overshoot_mv,tstop_ns,seconds,log
codesweep,ss,27,3,128,0x80,ok,29.842615,33.5091,1.999898,0.999926,2.8389,0.6741,3.8347,0.3752,0.1729,25.6134,7.7230,134.77,1200,44.7,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p0_code0x80.log
codesweep,ss,27,3,157,0x9D,ok,34.231916,29.2125,2.000034,1.000130,2.6778,0.6673,3.8238,0.3757,0.1750,21.4935,7.5442,147.10,1200,45.3,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p0_code0x9D.log
codesweep,ss,27,3,207,0xCF,ok,44.010563,22.7218,1.999799,0.999823,2.4113,0.6649,3.8038,0.3757,0.1857,15.2830,7.2559,182.48,1200,47.0,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p0_code0xCF.log
codesweep,ss,27,3,239,0xEF,ok,53.170216,18.8075,1.999954,1.000010,2.2003,0.6591,3.7945,0.3758,0.1924,11.5858,7.0297,217.47,1200,33.0,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p0_code0xEF.log
codesweep,ss,27,3.3,128,0x80,ok,31.445950,31.8006,2.199840,1.099881,2.8002,0.6086,2.5311,0.3254,0.1419,25.3934,6.2653,141.16,1200,45.1,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p3_code0x80.log
codesweep,ss,27,3.3,157,0x9D,ok,36.469780,27.4200,2.199871,1.099935,2.6365,0.6017,2.5278,0.3239,0.1404,21.1827,6.0909,156.08,1200,44.7,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p3_code0x9D.log
codesweep,ss,27,3.3,207,0xCF,ok,48.038642,20.8166,2.199927,1.099997,2.3676,0.6047,2.5125,0.3249,0.1505,14.8574,5.8096,189.68,1200,45.5,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p3_code0xCF.log
codesweep,ss,27,3.3,239,0xEF,ok,59.722155,16.7442,2.199862,1.099966,2.1712,0.5991,2.5098,0.3234,0.1567,10.9848,5.6035,226.09,1200,109.2,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p3_code0xEF.log
codesweep,ss,27,3.6,128,0x80,ok,32.446729,30.8197,2.399920,1.200052,2.7435,0.5615,1.9079,0.2924,0.1161,25.1951,5.5059,149.42,1200,42.8,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p6_code0x80.log
codesweep,ss,27,3.6,157,0x9D,ok,37.855102,26.4165,2.399882,1.199926,2.5790,0.5629,1.8973,0.2939,0.1194,20.9646,5.3323,166.44,1200,45.9,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p6_code0x9D.log
codesweep,ss,27,3.6,207,0xCF,ok,50.685666,19.7294,2.399710,1.199826,2.3157,0.5563,1.8865,0.2935,0.1320,14.5431,5.0517,205.13,1200,46.2,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p6_code0xCF.log
codesweep,ss,27,3.6,239,0xEF,ok,64.420803,15.5229,2.399707,1.199826,2.1308,0.5495,1.8851,0.2932,0.1357,10.5275,4.8578,239.99,1200,31.8,sim/pvt/corners/20260922T004823Z/codesweep_ss_T+027C_V3p6_code0xEF.log
ratified,ff,-40,3,76,0x4C,ok,44.881768,22.2808,1.999984,1.000031,1.9046,0.3988,1.2905,0.2024,0.0506,18.4343,3.7958,117.72,1200,33.7,sim/pvt/corners/20260922T004823Z/ratified_ff_T-040C_V3p0_code0x4C.log
ratified,ff,-40,3.3,76,0x4C,ok,45.829062,21.8202,2.199943,1.100031,1.8612,0.3782,1.0263,0.1883,0.0356,18.3330,3.4540,127.30,1200,35.0,sim/pvt/corners/20260922T004823Z/ratified_ff_T-040C_V3p3_code0x4C.log
ratified,ff,-40,3.6,76,0x4C,ok,46.656310,21.4333,2.399919,1.200002,1.8188,0.3468,0.8530,0.1815,0.0337,18.1944,3.2004,133.47,1200,35.4,sim/pvt/corners/20260922T004823Z/ratified_ff_T-040C_V3p6_code0x4C.log
ratified,ff,27,3,76,0x4C,ok,47.005846,21.2739,1.999426,0.999742,1.7746,0.4794,1.3082,0.2319,0.0544,17.4258,3.7946,118.99,1200,26.3,sim/pvt/corners/20260922T004823Z/ratified_ff_T+027C_V3p0_code0x4C.log
ratified,ff,27,3.3,76,0x4C,ok,48.008697,20.8296,2.199483,1.099741,1.7840,0.4457,1.0618,0.2110,0.0474,17.2864,3.5020,131.74,1200,26.1,sim/pvt/corners/20260922T004823Z/ratified_ff_T+027C_V3p3_code0x4C.log
ratified,ff,27,3.6,76,0x4C,ok,48.775281,20.5022,2.399408,1.199622,1.7806,0.4192,0.9023,0.1994,0.0330,17.1678,3.3001,142.24,1200,27.2,sim/pvt/corners/20260922T004823Z/ratified_ff_T+027C_V3p6_code0x4C.log
ratified,ff,85,3,76,0x4C,ok,49.633265,20.1478,1.999347,0.999902,1.0796,0.5459,1.3195,0.2556,0.0576,16.8891,3.2005,84.25,1200,26.7,sim/pvt/corners/20260922T004823Z/ratified_ff_T+085C_V3p0_code0x4C.log
ratified,ff,85,3.3,76,0x4C,ok,49.745199,20.1024,2.199259,1.099814,1.4627,0.5078,1.1085,0.2376,0.0479,16.7466,3.3172,118.93,1200,26.3,sim/pvt/corners/20260922T004823Z/ratified_ff_T+085C_V3p3_code0x4C.log
ratified,ff,85,3.6,76,0x4C,ok,50.196214,19.9218,2.399296,1.199879,1.6091,0.4763,0.9617,0.2203,0.0392,16.6125,3.2683,135.25,1200,26.0,sim/pvt/corners/20260922T004823Z/ratified_ff_T+085C_V3p6_code0x4C.log
ratified,fs,-40,3,155,0x9B,ok,44.856637,22.2932,1.999931,0.999990,2.2251,0.4914,1.6435,0.2187,0.0686,17.6469,4.5771,139.85,1200,21.2,sim/pvt/corners/20260922T004823Z/ratified_fs_T-040C_V3p0_code0x9B.log
ratified,fs,-40,3.3,155,0x9B,ok,46.295043,21.6006,2.199677,1.099797,2.1544,0.4493,1.2872,0.1993,0.0526,17.4587,4.0918,144.71,1200,22.7,sim/pvt/corners/20260922T004823Z/ratified_fs_T-040C_V3p3_code0x9B.log
ratified,fs,-40,3.6,155,0x9B,ok,47.192200,21.1899,2.399479,1.199608,2.0930,0.4186,1.0897,0.1852,0.0422,17.3604,3.7894,153.37,1200,22.5,sim/pvt/corners/20260922T004823Z/ratified_fs_T-040C_V3p6_code0x9B.log
