process,temp_c,vdd_v,trim_code,trim_hex,schematic_f_hz,schematic_status,extracted_f_hz,extracted_status,delta_pct,schematic_log,extracted_log
tt,-40,3,163,0xA3,4.509623e+07,ok,3.415327e+07,ok,-24.2658,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T-040C_V3p0_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T-040C_V3p0_code0xA3.log
tt,-40,3.3,163,0xA3,4.567805e+07,ok,3.452672e+07,ok,-24.4129,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T-040C_V3p3_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T-040C_V3p3_code0xA3.log
tt,-40,3.6,163,0xA3,4.614891e+07,ok,3.466165e+07,ok,-24.8917,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T-040C_V3p6_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T-040C_V3p6_code0xA3.log
tt,27,3,163,0xA3,4.750366e+07,ok,3.541844e+07,ok,-25.4406,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+027C_V3p0_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+027C_V3p0_code0xA3.log
tt,27,3.3,163,0xA3,4.798186e+07,ok,3.581470e+07,ok,-25.3578,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+027C_V3p3_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+027C_V3p3_code0xA3.log
tt,27,3.6,163,0xA3,4.842625e+07,ok,3.605705e+07,ok,-25.5423,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+027C_V3p6_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+027C_V3p6_code0xA3.log
tt,85,3,163,0xA3,4.924520e+07,ok,3.666031e+07,ok,-25.5556,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+085C_V3p0_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+085C_V3p0_code0xA3.log
tt,85,3.3,163,0xA3,4.963452e+07,ok,3.681422e+07,ok,-25.8294,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+085C_V3p3_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+085C_V3p3_code0xA3.log
tt,85,3.6,163,0xA3,4.996348e+07,ok,3.700305e+07,ok,-25.9398,sim/pvt-postlayout/corners/20260923T152954Z/schematic_tt_T+085C_V3p6_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_tt_T+085C_V3p6_code0xA3.log
ff,-40,3,163,0xA3,5.979111e+07,ok,4.149192e+07,ok,-30.6052,sim/pvt-postlayout/corners/20260923T152954Z/schematic_ff_T-040C_V3p0_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_ff_T-040C_V3p0_code0xA3.log
ff,-40,3.3,163,0xA3,6.041373e+07,ok,4.082185e+07,ok,-32.4295,sim/pvt-postlayout/corners/20260923T152954Z/schematic_ff_T-040C_V3p3_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_ff_T-040C_V3p3_code0xA3.log
ff,-40,3.6,163,0xA3,6.095759e+07,ok,3.848732e+07,ok,-36.8621,sim/pvt-postlayout/corners/20260923T152954Z/schematic_ff_T-040C_V3p6_code0xA3.log,sim/pvt-postlayout/corners/20260923T152954Z/extracted_ff_T-040C_V3p6_code0xA3.log
