kind,side,process,temp_c,vdd_v,code,trim_hex,f_hz,saturated,f_code0x00_hz,f_code0xff_hz,target_hz,dr0017_campaign_f_hz
row4_cell,schematic,ff,85,3.6,128,0x80,5.531538e+07,,,,,5.531538e+07
row4_cell,extracted,ff,85,3.6,128,0x80,3.807900e+07,,,,,5.531538e+07
calibration,schematic,tt,27,3.3,163,0xA3,4.798186e+07,False,2.633751e+07,8.322925e+07,4.800000e+07,
calibration,extracted,tt,27,3.3,217,0xD9,4.802496e+07,False,2.080626e+07,6.058214e+07,4.800000e+07,
calibration,schematic,ff,27,3.3,89,0x59,4.804634e+07,False,3.540965e+07,1.086096e+08,4.800000e+07,
calibration,extracted,ff,27,3.3,179,0xB3,4.801579e+07,False,2.563002e+07,7.253202e+07,4.800000e+07,
calibration,schematic,ss,27,3.3,205,0xCD,4.787767e+07,False,2.045805e+07,6.605401e+07,4.800000e+07,
calibration,extracted,ss,27,3.3,247,0xF7,4.801878e+07,False,1.735439e+07,5.027615e+07,4.800000e+07,
