variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,-40.0,3.0,0x00,414.153,156.212,24.648542593297815,tt_T-040C_V3p0_code0x00.log
as-committed,tt,-40.0,3.3,0x00,542.7473,180.375,24.717631951988473,tt_T-040C_V3p3_code0x00.log
as-committed,tt,-40.0,3.6,0x00,685.832,210.822,24.883266376610727,tt_T-040C_V3p6_code0x00.log
as-committed,tt,27.0,3.0,0x00,437.1914,202.359,26.243344031869913,tt_T+027C_V3p0_code0x00.log
as-committed,tt,27.0,3.3,0x00,547.2133,226.481,26.33751792597314,tt_T+027C_V3p3_code0x00.log
as-committed,tt,27.0,3.6,0x00,668.6812,255.75,26.434221743469095,tt_T+027C_V3p6_code0x00.log
as-committed,tt,85.0,3.0,0x00,470.5988,249.059,27.459589781188257,tt_T+085C_V3p0_code0x00.log
as-committed,tt,85.0,3.3,0x00,569.3241,273.946,27.490010817319256,tt_T+085C_V3p3_code0x00.log
as-committed,tt,85.0,3.6,0x00,677.2566,302.768,27.550448314670202,tt_T+085C_V3p6_code0x00.log
as-committed,ff,-40.0,3.0,0x00,592.2998,227.375,33.16815591686733,ff_T-040C_V3p0_code0x00.log
as-committed,ff,-40.0,3.3,0x00,747.8944,264.262,33.28423908068932,ff_T-040C_V3p3_code0x00.log
as-committed,ff,-40.0,3.6,0x00,916.9721,308.49,33.41106975563143,ff_T-040C_V3p6_code0x00.log
as-committed,ff,27.0,3.0,0x00,616.4975,293.165,35.32969672988327,ff_T+027C_V3p0_code0x00.log
as-committed,ff,27.0,3.3,0x00,748.6218,329.249,35.40963637844402,ff_T+027C_V3p3_code0x00.log
as-committed,ff,27.0,3.6,0x00,891.0581,370.343,35.511994176032964,ff_T+027C_V3p6_code0x00.log
as-committed,ff,85.0,3.0,0x00,659.8338,361.454,37.72951334587211,ff_T+085C_V3p0_code0x00.log
as-committed,ff,85.0,3.3,0x00,777.0842,398.819,37.257338298494616,ff_T+085C_V3p3_code0x00.log
as-committed,ff,85.0,3.6,0x00,902.5747,438.885,37.11249911857814,ff_T+085C_V3p6_code0x00.log
as-committed,ss,-40.0,3.0,0x00,272.2244,113.956,19.1115243447375,ss_T-040C_V3p0_code0x00.log
