variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,-40.0,3.0,0x00,595.169,276.96,25.785058332248216,tt_T-040C_V3p0_code0x00.log
as-committed,tt,-40.0,3.3,0x00,749.9498,325.277,26.445511667759746,tt_T-040C_V3p3_code0x00.log
as-committed,tt,-40.0,3.6,0x00,915.8762,373.651,26.816697148312425,tt_T-040C_V3p6_code0x00.log
as-committed,tt,27.0,3.0,0x00,594.1292,293.784,27.474376709421378,tt_T+027C_V3p0_code0x00.log
as-committed,tt,27.0,3.3,0x00,735.3954,345.344,27.977310401264575,tt_T+027C_V3p3_code0x00.log
as-committed,tt,27.0,3.6,0x00,884.5921,396.804,28.34800578866278,tt_T+027C_V3p6_code0x00.log
as-committed,tt,85.0,3.0,0x00,585.7697,296.697,29.246949543162643,tt_T+085C_V3p0_code0x00.log
as-committed,tt,85.0,3.3,0x00,722.5121,353.29,29.416263663854476,tt_T+085C_V3p3_code0x00.log
as-committed,tt,85.0,3.6,0x00,864.8089,409.362,29.589782056460265,tt_T+085C_V3p6_code0x00.log
as-committed,ff,-40.0,3.0,0x00,807.1007,370.381,35.48609743417773,ff_T-040C_V3p0_code0x00.log
as-committed,ff,-40.0,3.3,0x00,992.5664,430.736,36.06462781304097,ff_T-040C_V3p3_code0x00.log
as-committed,ff,-40.0,3.6,0x00,1187.994,491.415,36.39778410290381,ff_T-040C_V3p6_code0x00.log
as-committed,ff,27.0,3.0,0x00,789.6145,387.206,38.03655312755558,ff_T+027C_V3p0_code0x00.log
as-committed,ff,27.0,3.3,0x00,960.9599,454.088,38.271139542315446,ff_T+027C_V3p3_code0x00.log
as-committed,ff,27.0,3.6,0x00,1137.251,519.525,38.572880564861265,ff_T+027C_V3p6_code0x00.log
as-committed,ff,85.0,3.0,0x00,769.3159,387.441,41.4818993732085,ff_T+085C_V3p0_code0x00.log
as-committed,ff,85.0,3.3,0x00,931.8282,459.084,41.24221553181837,ff_T+085C_V3p3_code0x00.log
as-committed,ff,85.0,3.6,0x00,1099.888,531.178,41.034310839008036,ff_T+085C_V3p6_code0x00.log
as-committed,ss,-40.0,3.0,0x00,209.3433,213.323,19.059653857626294,ss_T-040C_V3p0_code0x00.log
as-committed,ss,-40.0,3.3,0x00,249.0225,253.507,20.05038662158003,ss_T-040C_V3p3_code0x00.log
as-committed,ss,-40.0,3.6,0x00,268.6997,293.886,20.54862781400615,ss_T-040C_V3p6_code0x00.log
as-committed,ss,27.0,3.0,0x00,209.8955,228.196,20.598786113534327,ss_T+027C_V3p0_code0x00.log
as-committed,ss,27.0,3.3,0x00,563.2086,270.675,21.32712287515209,ss_T+027C_V3p3_code0x00.log
as-committed,ss,27.0,3.6,0x00,688.9064,312.905,21.73813804152419,ss_T+027C_V3p6_code0x00.log
as-committed,ss,85.0,3.0,0x00,446.7153,232.177,21.79283081244763,ss_T+085C_V3p0_code0x00.log
as-committed,ss,85.0,3.3,0x00,560.9182,278.827,22.25887517000216,ss_T+085C_V3p3_code0x00.log
as-committed,ss,85.0,3.6,0x00,680.5287,324.348,22.586441133523138,ss_T+085C_V3p6_code0x00.log
as-committed,fs,-40.0,3.0,0x00,207.2312,292.92,26.470362458673147,fs_T-040C_V3p0_code0x00.log
as-committed,fs,-40.0,3.3,0x00,750.7228,341.539,26.78315553781915,fs_T-040C_V3p3_code0x00.log
as-committed,fs,-40.0,3.6,0x00,914.9809,390.831,27.07572674635053,fs_T-040C_V3p6_code0x00.log
as-committed,fs,27.0,3.0,0x00,592.9437,304.141,29.56873992814796,fs_T+027C_V3p0_code0x00.log
as-committed,fs,27.0,3.3,0x00,736.5888,360.713,29.244169809196414,fs_T+027C_V3p3_code0x00.log
as-committed,fs,27.0,3.6,0x00,885.5498,414.654,29.072260557228017,fs_T+027C_V3p6_code0x00.log
as-committed,fs,85.0,3.0,0x00,584.923,303.153,33.14638770666773,fs_T+085C_V3p0_code0x00.log
as-committed,fs,85.0,3.3,0x00,721.9807,363.266,32.3575378502299,fs_T+085C_V3p3_code0x00.log
as-committed,fs,85.0,3.6,0x00,864.9872,423.507,31.739633438973414,fs_T+085C_V3p6_code0x00.log
as-committed,sf,-40.0,3.0,0x00,385.9923,260.643,24.793531863407473,sf_T-040C_V3p0_code0x00.log
as-committed,sf,-40.0,3.3,0x00,746.5936,308.624,25.879280918300402,sf_T-040C_V3p3_code0x00.log
as-committed,sf,-40.0,3.6,0x00,913.1891,357.05,26.501122985086493,sf_T-040C_V3p6_code0x00.log
as-committed,sf,27.0,3.0,0x00,589.9415,278.509,26.58111093095025,sf_T+027C_V3p0_code0x00.log
as-committed,sf,27.0,3.3,0x00,730.8019,328.493,27.454124158531094,sf_T+027C_V3p3_code0x00.log
as-committed,sf,27.0,3.6,0x00,880.3398,378.886,28.00916459865668,sf_T+027C_V3p6_code0x00.log
as-committed,sf,85.0,3.0,0x00,586.1191,286.029,27.784415165845175,sf_T+085C_V3p0_code0x00.log
as-committed,sf,85.0,3.3,0x00,721.1001,339.378,28.488405219075837,sf_T+085C_V3p3_code0x00.log
as-committed,sf,85.0,3.6,0x00,861.2255,392.284,28.960617903743596,sf_T+085C_V3p6_code0x00.log
as-committed,rc_f,-40.0,3.0,0x00,664.2648,334.449,33.82869823786311,rc_f_T-040C_V3p0_code0x00.log
as-committed,rc_f,-40.0,3.3,0x00,830.2359,394.226,34.84599811134691,rc_f_T-040C_V3p3_code0x00.log
as-committed,rc_f,-40.0,3.6,0x00,1007.005,454.969,35.545065811689355,rc_f_T-040C_V3p6_code0x00.log
as-committed,rc_f,27.0,3.0,0x00,651.2778,340.498,36.792773899206196,rc_f_T+027C_V3p0_code0x00.log
as-committed,rc_f,27.0,3.3,0x00,809.8343,408.38,37.290613206843574,rc_f_T+027C_V3p3_code0x00.log
as-committed,rc_f,27.0,3.6,0x00,975.645,475.71,37.73136400767455,rc_f_T+027C_V3p6_code0x00.log
as-committed,rc_f,85.0,3.0,0x00,637.5514,336.221,40.542458089233946,rc_f_T+085C_V3p0_code0x00.log
as-committed,rc_f,85.0,3.3,0x00,786.4697,405.543,40.58449793932211,rc_f_T+085C_V3p3_code0x00.log
as-committed,rc_f,85.0,3.6,0x00,943.8446,476.306,40.524960336195065,rc_f_T+085C_V3p6_code0x00.log
as-committed,rc_s,-40.0,3.0,0x00,294.6758,235.975,20.345362528928565,rc_s_T-040C_V3p0_code0x00.log
as-committed,rc_s,-40.0,3.3,0x00,694.6699,276.55,20.82376741517699,rc_s_T-040C_V3p3_code0x00.log
as-committed,rc_s,-40.0,3.6,0x00,853.3655,317.321,21.080991059551693,rc_s_T-040C_V3p6_code0x00.log
as-committed,rc_s,27.0,3.0,0x00,545.7726,253.414,21.650293632107385,rc_s_T+027C_V3p0_code0x00.log
as-committed,rc_s,27.0,3.3,0x00,678.0419,295.943,22.039490358824942,rc_s_T+027C_V3p3_code0x00.log
as-committed,rc_s,27.0,3.6,0x00,819.2774,338.86,22.299502386604246,rc_s_T+027C_V3p6_code0x00.log
as-committed,rc_s,85.0,3.0,0x00,545.1973,262.869,22.6303735822071,rc_s_T+085C_V3p0_code0x00.log
as-committed,rc_s,85.0,3.3,0x00,669.7395,308.148,22.893641863313515,rc_s_T+085C_V3p3_code0x00.log
as-committed,rc_s,85.0,3.6,0x00,800.1215,352.9,23.109124753454527,rc_s_T+085C_V3p6_code0x00.log
as-committed,tt,-40.0,3.0,0x80,595.1693,298.991,34.417069489784154,tt_T-040C_V3p0_code0x80.log
as-committed,tt,-40.0,3.3,0x80,216.5426,349.915,36.42900987772603,tt_T-040C_V3p3_code0x80.log
as-committed,tt,-40.0,3.6,0x80,915.909,401.62,38.01601995080728,tt_T-040C_V3p6_code0x80.log
as-committed,tt,27.0,3.0,0x80,594.1435,317.442,37.04643585502248,tt_T+027C_V3p0_code0x80.log
as-committed,tt,27.0,3.3,0x80,735.4641,372.265,38.88682572674617,tt_T+027C_V3p3_code0x80.log
as-committed,tt,27.0,3.6,0x80,884.8958,426.755,40.49845498394236,tt_T+027C_V3p6_code0x80.log
as-committed,tt,85.0,3.0,0x80,586.0133,322.14,40.22679869101997,tt_T+085C_V3p0_code0x80.log
as-committed,tt,85.0,3.3,0x80,723.0845,381.983,41.478286117217635,tt_T+085C_V3p3_code0x80.log
as-committed,tt,85.0,3.6,0x80,866.1758,441.161,42.70866921922146,tt_T+085C_V3p6_code0x80.log
as-committed,ff,-40.0,3.0,0x80,807.1424,398.19,48.72716127496567,ff_T-040C_V3p0_code0x80.log
as-committed,ff,-40.0,3.3,0x80,992.8425,462.489,51.06250868062648,ff_T-040C_V3p3_code0x80.log
as-committed,ff,-40.0,3.6,0x80,1189.283,527.791,53.10845090880509,ff_T-040C_V3p6_code0x80.log
as-committed,ff,27.0,3.0,0x80,790.3197,418.22,53.219585339600826,ff_T+027C_V3p0_code0x80.log
as-committed,ff,27.0,3.3,0x80,962.8042,489.239,55.01016037662156,ff_T+027C_V3p3_code0x80.log
as-committed,ff,27.0,3.6,0x80,1141.653,558.19,56.61110098401415,ff_T+027C_V3p6_code0x80.log
as-committed,ff,85.0,3.0,0x80,774.5922,421.225,59.642526552852814,ff_T+085C_V3p0_code0x80.log
as-committed,ff,85.0,3.3,0x80,939.5398,496.72,60.244484165641005,ff_T+085C_V3p3_code0x80.log
as-committed,ff,85.0,3.6,0x80,1109.986,572.671,60.6604528120821,ff_T+085C_V3p6_code0x80.log
as-committed,ss,-40.0,3.0,0x80,342.2028,231.408,24.560369387955596,ss_T-040C_V3p0_code0x80.log
as-committed,ss,-40.0,3.3,0x80,299.3549,273.767,26.780071342110055,ss_T-040C_V3p3_code0x80.log
as-committed,ss,-40.0,3.6,0x80,357.2326,316.152,28.27946331234526,ss_T-040C_V3p6_code0x80.log
as-committed,ss,27.0,3.0,0x80,446.3285,247.588,26.870488277077726,ss_T+027C_V3p0_code0x80.log
as-committed,ss,27.0,3.3,0x80,563.21,292.394,28.73348542924954,ss_T+027C_V3p3_code0x80.log
as-committed,ss,27.0,3.6,0x80,688.9146,337.063,30.143270966905707,ss_T+027C_V3p6_code0x80.log
as-committed,ss,85.0,3.0,0x80,446.7215,252.497,28.799271954404993,ss_T+085C_V3p0_code0x80.log
as-committed,ss,85.0,3.3,0x80,560.9379,301.822,30.307576439496227,ss_T+085C_V3p3_code0x80.log
as-committed,ss,85.0,3.6,0x80,680.5978,349.834,31.554700072575812,ss_T+085C_V3p6_code0x80.log
as-committed,fs,-40.0,3.0,0x80,597.6375,314.718,36.62701791976852,fs_T-040C_V3p0_code0x80.log
as-committed,fs,-40.0,3.3,0x80,750.8157,366.349,38.1974617786648,fs_T-040C_V3p3_code0x80.log
as-committed,fs,-40.0,3.6,0x80,915.4519,418.662,39.68592558492094,fs_T-040C_V3p6_code0x80.log
as-committed,fs,27.0,3.0,0x80,594.152,329.145,42.45566991226112,fs_T+027C_V3p0_code0x80.log
as-committed,fs,27.0,3.3,0x80,738.4905,388.394,42.82260948135396,fs_T+027C_V3p3_code0x80.log
as-committed,fs,27.0,3.6,0x80,888.8029,445.305,43.37829276486949,fs_T+027C_V3p6_code0x80.log
as-committed,fs,85.0,3.0,0x80,591.748,330.103,49.03436622591309,fs_T+085C_V3p0_code0x80.log
as-committed,fs,85.0,3.3,0x80,729.5284,393.472,48.394078790883626,fs_T+085C_V3p3_code0x80.log
as-committed,fs,85.0,3.6,0x80,873.5024,456.442,47.9270588505941,fs_T+085C_V3p6_code0x80.log
as-committed,sf,-40.0,3.0,0x80,590.8151,283.106,31.991196022854506,sf_T-040C_V3p0_code0x80.log
as-committed,sf,-40.0,3.3,0x80,275.7089,333.518,34.55102668375791,sf_T-040C_V3p3_code0x80.log
as-committed,sf,-40.0,3.6,0x80,913.1902,384.799,36.37646733575116,sf_T-040C_V3p6_code0x80.log
as-committed,sf,27.0,3.0,0x80,589.9422,302.541,34.65105521125882,sf_T+027C_V3p0_code0x80.log
as-committed,sf,27.0,3.3,0x80,730.8063,355.208,36.895944213332356,sf_T+027C_V3p3_code0x80.log
as-committed,sf,27.0,3.6,0x80,880.3669,408.867,38.68225045596702,sf_T+027C_V3p6_code0x80.log
as-committed,sf,85.0,3.0,0x80,586.1284,310.797,36.46128631772001,sf_T+085C_V3p0_code0x80.log
as-committed,sf,85.0,3.3,0x80,721.1391,367.673,38.53958111329288,sf_T+085C_V3p3_code0x80.log
as-committed,sf,85.0,3.6,0x80,861.3831,423.893,40.25222041310853,sf_T+085C_V3p6_code0x80.log
as-committed,rc_f,-40.0,3.0,0x80,361.3289,361.412,44.165417153406366,rc_f_T-040C_V3p0_code0x80.log
as-committed,rc_f,-40.0,3.3,0x80,830.24,425.038,46.92962902128259,rc_f_T-040C_V3p3_code0x80.log
as-committed,rc_f,-40.0,3.6,0x80,1007.044,488.984,49.17183565100683,rc_f_T-040C_V3p6_code0x80.log
as-committed,rc_f,27.0,3.0,0x80,651.3282,370.22,48.804509146209035,rc_f_T+027C_V3p0_code0x80.log
as-committed,rc_f,27.0,3.3,0x80,809.995,441.714,50.90518324211549,rc_f_T+027C_V3p3_code0x80.log
as-committed,rc_f,27.0,3.6,0x80,976.1573,512.71,52.74094701644462,rc_f_T+027C_V3p6_code0x80.log
as-committed,rc_f,85.0,3.0,0x80,638.9037,368.54,55.433478716870184,rc_f_T+085C_V3p0_code0x80.log
as-committed,rc_f,85.0,3.3,0x80,788.7823,441.886,56.76965344113512,rc_f_T+085C_V3p3_code0x80.log
as-committed,rc_f,85.0,3.6,0x80,947.713,516.949,57.84191803800214,rc_f_T+085C_V3p6_code0x80.log
as-committed,rc_s,-40.0,3.0,0x80,189.9872,254.56,27.706203418945503,rc_s_T-040C_V3p0_code0x80.log
as-committed,rc_s,-40.0,3.3,0x80,694.6728,297.316,29.177018429663686,rc_s_T-040C_V3p3_code0x80.log
as-committed,rc_s,-40.0,3.6,0x80,853.3953,340.584,30.40599606242351,rc_s_T-040C_V3p6_code0x80.log
as-committed,rc_s,27.0,3.0,0x80,545.7828,273.392,29.77236053137709,rc_s_T+027C_V3p0_code0x80.log
as-committed,rc_s,27.0,3.3,0x80,678.0969,318.154,31.19633255914435,rc_s_T+027C_V3p3_code0x80.log
as-committed,rc_s,27.0,3.6,0x80,819.5396,363.986,32.47707524451178,rc_s_T+027C_V3p6_code0x80.log
as-committed,rc_s,85.0,3.0,0x80,545.2953,284.016,31.537981190748013,rc_s_T+085C_V3p0_code0x80.log
as-committed,rc_s,85.0,3.3,0x80,670.0471,331.897,32.80522390385445,rc_s_T+085C_V3p3_code0x80.log
