variant,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,0x00,467.1338,136.447,26.505934678774576,as-committed_code0x00.log
as-committed,0x80,467.1776,157.269,35.955702574428315,as-committed_code0x80.log
as-committed,0xFF,467.1776,218.54,51.94138726095924,as-committed_code0xFF.log
pre-22,0x00,914.3975,470.403,29.507229271171436,pre-22_code0x00.log
pre-22,0x80,914.9895,502.311,42.06771218954028,pre-22_code0x80.log
pre-22,0xFF,914.9895,605.502,65.9204254767942,pre-22_code0xFF.log
