variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,-40.0,3.0,0x00,445.0767,166.137,25.073465253191856,tt_T-040C_V3p0_code0x00.log
as-committed,tt,-40.0,3.3,0x00,578.5766,194.023,25.69960756699245,tt_T-040C_V3p3_code0x00.log
as-committed,tt,-40.0,3.6,0x00,727.6365,226.047,26.098962044279496,tt_T-040C_V3p6_code0x00.log
as-committed,tt,27.0,3.0,0x00,480.3621,214.269,26.718107930468797,tt_T+027C_V3p0_code0x00.log
as-committed,tt,27.0,3.3,0x00,595.0037,242.342,27.29548177890114,tt_T+027C_V3p3_code0x00.log
as-committed,tt,27.0,3.6,0x00,721.8333,273.083,27.685761074650504,tt_T+027C_V3p6_code0x00.log
as-committed,tt,85.0,3.0,0x00,525.4396,260.572,27.84495372864814,tt_T+085C_V3p0_code0x00.log
as-committed,tt,85.0,3.3,0x00,629.163,290.102,28.299550744631926,tt_T+085C_V3p3_code0x00.log
as-committed,tt,85.0,3.6,0x00,742.367,321.313,28.67432844722777,tt_T+085C_V3p6_code0x00.log
as-committed,ff,-40.0,3.0,0x00,638.9265,243.736,34.6314349535073,ff_T-040C_V3p0_code0x00.log
as-committed,ff,-40.0,3.3,0x00,801.4978,282.343,35.18586935486709,ff_T-040C_V3p3_code0x00.log
as-committed,ff,-40.0,3.6,0x00,978.6799,325.052,35.56326883341809,ff_T-040C_V3p6_code0x00.log
as-committed,ff,27.0,3.0,0x00,680.0491,311.335,36.57738127896472,ff_T+027C_V3p0_code0x00.log
as-committed,ff,27.0,3.3,0x00,818.6955,349.365,37.12290093197043,ff_T+027C_V3p3_code0x00.log
as-committed,ff,27.0,3.6,0x00,968.3831,390.693,37.570044651998074,ff_T+027C_V3p6_code0x00.log
as-committed,ff,85.0,3.0,0x00,734.9197,374.021,38.823794327067176,ff_T+085C_V3p0_code0x00.log
as-committed,ff,85.0,3.3,0x00,863.2555,417.871,38.75165421123914,ff_T+085C_V3p3_code0x00.log
as-committed,ff,85.0,3.6,0x00,996.5423,460.061,38.86226823514781,ff_T+085C_V3p6_code0x00.log
as-committed,ss,-40.0,3.0,0x00,156.9235,119.237,18.48392960949926,ss_T-040C_V3p0_code0x00.log
as-committed,ss,-40.0,3.3,0x00,412.0545,138.951,19.42454777224718,ss_T-040C_V3p3_code0x00.log
as-committed,ss,-40.0,3.6,0x00,534.5154,162.542,19.92379149752198,ss_T-040C_V3p6_code0x00.log
as-committed,ss,27.0,3.0,0x00,340.2673,155.522,20.08052289681623,ss_T+027C_V3p0_code0x00.log
as-committed,ss,27.0,3.3,0x00,432.7009,176.32,20.766038390175172,ss_T+027C_V3p3_code0x00.log
as-committed,ss,27.0,3.6,0x00,537.6398,199.608,21.195781191711603,ss_T+027C_V3p6_code0x00.log
as-committed,ss,85.0,3.0,0x00,379.0376,190.247,21.056687761958358,ss_T+085C_V3p0_code0x00.log
as-committed,ss,85.0,3.3,0x00,463.3271,212.437,21.632238958364432,ss_T+085C_V3p3_code0x00.log
as-committed,ss,85.0,3.6,0x00,557.731,236.303,22.025485689491312,ss_T+085C_V3p6_code0x00.log
as-committed,fs,-40.0,3.0,0x00,449.6581,180.137,25.63566844364575,fs_T-040C_V3p0_code0x00.log
as-committed,fs,-40.0,3.3,0x00,585.2484,211.681,26.09412673395472,fs_T-040C_V3p3_code0x00.log
as-committed,fs,-40.0,3.6,0x00,736.3402,247.29,26.385154656584017,fs_T-040C_V3p6_code0x00.log
as-committed,fs,27.0,3.0,0x00,482.5364,226.802,27.1643538483061,fs_T+027C_V3p0_code0x00.log
as-committed,fs,27.0,3.3,0x00,598.5459,257.31,27.57430240461704,fs_T+027C_V3p3_code0x00.log
as-committed,fs,27.0,3.6,0x00,726.5672,290.788,27.88727406079147,fs_T+027C_V3p6_code0x00.log
