pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,239,0xEF,7.947793e+07,79.477930,1.258211e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0xEF.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,240,0xF0,7.914202e+07,79.142020,1.263551e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0xF0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,255,0xFF,8.493838e+07,84.938380,1.177324e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0xFF.log,f vs. trim code at tt / 27 C / 3.3 V
pretrim,tt,typical,res_typical,mimcap_typical,-40,3,128,0x80,3.755501e+07,37.555010,2.662760e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,-40,3.3,128,0x80,3.905213e+07,39.052130,2.560680e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,-40,3.6,128,0x80,3.987855e+07,39.878550,2.507613e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3,128,0x80,3.990797e+07,39.907970,2.505765e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3.3,128,0x80,4.122347e+07,41.223470,2.425803e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3.6,128,0x80,4.209192e+07,42.091920,2.375753e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,85,3,128,0x80,4.139886e+07,41.398860,2.415526e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
