process,temp_c,vdd_v,trim_code,trim_hex,schematic_f_hz,schematic_status,extracted_f_hz,extracted_status,delta_pct,schematic_log,extracted_log
tt,-40,3,208,0xD0,4.119004e+07,ok,3.391684e+07,ok,-17.6577,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T-040C_V3p0_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T-040C_V3p0_code0xD0.log
tt,-40,3.3,208,0xD0,4.498246e+07,ok,3.603076e+07,ok,-19.9004,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T-040C_V3p3_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T-040C_V3p3_code0xD0.log
tt,-40,3.6,208,0xD0,4.845303e+07,ok,3.774066e+07,ok,-22.1088,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T-040C_V3p6_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T-040C_V3p6_code0xD0.log
tt,27,3,208,0xD0,4.450212e+07,ok,3.658154e+07,ok,-17.7982,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+027C_V3p0_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+027C_V3p0_code0xD0.log
tt,27,3.3,208,0xD0,4.820138e+07,ok,3.928825e+07,ok,-18.4914,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+027C_V3p3_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+027C_V3p3_code0xD0.log
tt,27,3.6,208,0xD0,5.170018e+07,ok,4.151452e+07,ok,-19.7014,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+027C_V3p6_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+027C_V3p6_code0xD0.log
tt,85,3,208,0xD0,4.692518e+07,ok,3.878439e+07,ok,-17.3484,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+085C_V3p0_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+085C_V3p0_code0xD0.log
tt,85,3.3,208,0xD0,5.041715e+07,ok,4.124179e+07,ok,-18.1989,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+085C_V3p3_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+085C_V3p3_code0xD0.log
tt,85,3.6,208,0xD0,5.388851e+07,ok,4.365525e+07,ok,-18.9897,sim/pvt-postlayout/corners/20260921T164434Z/schematic_tt_T+085C_V3p6_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_tt_T+085C_V3p6_code0xD0.log
ff,-40,3,208,0xD0,6.055987e+07,ok,4.634548e+07,ok,-23.4716,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T-040C_V3p0_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T-040C_V3p0_code0xD0.log
ff,-40,3.3,208,0xD0,6.552628e+07,ok,4.620510e+07,ok,-29.4862,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T-040C_V3p3_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T-040C_V3p3_code0xD0.log
ff,-40,3.6,208,0xD0,7.048269e+07,ok,4.128584e+07,ok,-41.4241,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T-040C_V3p6_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T-040C_V3p6_code0xD0.log
ff,27,3,208,0xD0,6.471951e+07,ok,5.149533e+07,ok,-20.4331,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T+027C_V3p0_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T+027C_V3p0_code0xD0.log
ff,27,3.3,208,0xD0,6.976082e+07,ok,5.330960e+07,ok,-23.5823,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T+027C_V3p3_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T+027C_V3p3_code0xD0.log
ff,27,3.6,208,0xD0,7.458750e+07,ok,5.329784e+07,ok,-28.5432,sim/pvt-postlayout/corners/20260921T164434Z/schematic_ff_T+027C_V3p6_code0xD0.log,sim/pvt-postlayout/corners/20260921T164434Z/extracted_ff_T+027C_V3p6_code0xD0.log
