process,temp_c,vdd_v,trim_code,trim_hex,schematic_f_hz,schematic_status,extracted_f_hz,extracted_status,delta_pct,schematic_log,extracted_log
tt,-40,3,157,0x9D,4.373959e+07,ok,3.218840e+07,ok,-26.4090,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T-040C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T-040C_V3p0_code0x9D.log
tt,-40,3.3,157,0x9D,4.582015e+07,ok,3.281088e+07,ok,-28.3920,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T-040C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T-040C_V3p3_code0x9D.log
tt,-40,3.6,157,0x9D,4.704618e+07,ok,3.307291e+07,ok,-29.7012,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T-040C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T-040C_V3p6_code0x9D.log
tt,27,3,157,0x9D,4.600550e+07,ok,3.399865e+07,ok,-26.0987,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+027C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+027C_V3p0_code0x9D.log
tt,27,3.3,157,0x9D,4.786398e+07,ok,3.480007e+07,ok,-27.2938,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+027C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+027C_V3p3_code0x9D.log
tt,27,3.6,157,0x9D,4.912636e+07,ok,3.523338e+07,ok,-28.2801,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+027C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+027C_V3p6_code0x9D.log
tt,85,3,157,0x9D,4.739025e+07,ok,3.527571e+07,ok,-25.5634,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+085C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+085C_V3p0_code0x9D.log
tt,85,3.3,157,0x9D,4.896908e+07,ok,3.595625e+07,ok,-26.5736,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+085C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+085C_V3p3_code0x9D.log
tt,85,3.6,157,0x9D,5.020041e+07,ok,3.650984e+07,ok,-27.2718,sim/pvt-postlayout/corners/20260922T004322Z/schematic_tt_T+085C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_tt_T+085C_V3p6_code0x9D.log
ff,-40,3,157,0x9D,6.032079e+07,ok,4.024918e+07,ok,-33.2748,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T-040C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T-040C_V3p0_code0x9D.log
ff,-40,3.3,157,0x9D,6.214949e+07,ok,3.969894e+07,ok,-36.1235,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T-040C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T-040C_V3p3_code0x9D.log
ff,-40,3.6,157,0x9D,6.340067e+07,ok,3.745487e+07,ok,-40.9235,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T-040C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T-040C_V3p6_code0x9D.log
ff,27,3,157,0x9D,6.246660e+07,ok,4.322325e+07,ok,-30.8058,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+027C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+027C_V3p0_code0x9D.log
ff,27,3.3,157,0x9D,6.427842e+07,ok,4.333370e+07,ok,-32.5844,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+027C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+027C_V3p3_code0x9D.log
ff,27,3.6,157,0x9D,6.564269e+07,ok,4.293193e+07,ok,-34.5975,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+027C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+027C_V3p6_code0x9D.log
ff,85,3,157,0x9D,6.562034e+07,ok,4.821698e+07,ok,-26.5213,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+085C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+085C_V3p0_code0x9D.log
ff,85,3.3,157,0x9D,6.618050e+07,ok,4.698414e+07,ok,-29.0061,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+085C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+085C_V3p3_code0x9D.log
ff,85,3.6,157,0x9D,6.707734e+07,ok,4.627317e+07,ok,-31.0152,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ff_T+085C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ff_T+085C_V3p6_code0x9D.log
ss,-40,3,157,0x9D,3.153457e+07,ok,2.602912e+07,ok,-17.4585,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T-040C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T-040C_V3p0_code0x9D.log
ss,-40,3.3,157,0x9D,3.450134e+07,ok,2.672310e+07,ok,-22.5447,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T-040C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T-040C_V3p3_code0x9D.log
ss,-40,3.6,157,0x9D,3.605940e+07,ok,2.732367e+07,ok,-24.2259,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T-040C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T-040C_V3p6_code0x9D.log
ss,27,3,157,0x9D,3.420348e+07,ok,2.751412e+07,ok,-19.5575,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+027C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+027C_V3p0_code0x9D.log
ss,27,3.3,157,0x9D,3.643765e+07,ok,2.836638e+07,ok,-22.1509,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+027C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+027C_V3p3_code0x9D.log
ss,27,3.6,157,0x9D,3.781186e+07,ok,2.905600e+07,ok,-23.1564,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+027C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+027C_V3p6_code0x9D.log
ss,85,3,157,0x9D,3.565907e+07,ok,2.757493e+07,ok,-22.6706,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+085C_V3p0_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+085C_V3p0_code0x9D.log
ss,85,3.3,157,0x9D,3.755558e+07,ok,2.904964e+07,ok,-22.6489,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+085C_V3p3_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+085C_V3p3_code0x9D.log
ss,85,3.6,157,0x9D,3.882918e+07,ok,2.997388e+07,ok,-22.8058,sim/pvt-postlayout/corners/20260922T004322Z/schematic_ss_T+085C_V3p6_code0x9D.log,sim/pvt-postlayout/corners/20260922T004322Z/extracted_ss_T+085C_V3p6_code0x9D.log
