pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,0,0x00,2.766594e+07,27.665940,3.614552e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x00.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,16,0x10,2.767338e+07,27.673380,3.613580e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x10.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,32,0x20,2.769168e+07,27.691680,3.611193e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x20.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,48,0x30,2.766947e+07,27.669470,3.614091e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x30.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,64,0x40,2.886436e+07,28.864360,3.464479e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x40.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,80,0x50,2.885363e+07,28.853630,3.465769e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x50.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,96,0x60,2.885912e+07,28.859120,3.465109e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x60.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,112,0x70,2.886928e+07,28.869280,3.463890e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x70.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,128,0x80,3.818119e+07,38.181190,2.619090e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x80.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,144,0x90,3.819610e+07,38.196100,2.618069e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0x90.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,160,0xA0,3.949655e+07,39.496550,2.531866e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xA0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,176,0xB0,3.955436e+07,39.554360,2.528166e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xB0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,192,0xC0,4.706489e+07,47.064890,2.124726e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xC0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,208,0xD0,4.820138e+07,48.201380,2.074629e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xD0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,224,0xE0,5.265323e+07,52.653230,1.899219e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xE0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,240,0xF0,5.531215e+07,55.312150,1.807921e-08,ok,1200,sim/pvt/corners/20260921T075822Z/tt_T+027C_V3p3_code0xF0.log,f vs. trim code at tt / 27 C / 3.3 V
