pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,0,0x00,2.950721e+07,29.507210,3.389002e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x00.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,16,0x10,2.947341e+07,29.473410,3.392889e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x10.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,32,0x20,2.952032e+07,29.520320,3.387497e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x20.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,48,0x30,2.948586e+07,29.485860,3.391456e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x30.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,64,0x40,3.086032e+07,30.860320,3.240407e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x40.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,80,0x50,3.085950e+07,30.859500,3.240493e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x50.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,96,0x60,3.086637e+07,30.866370,3.239772e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x60.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,112,0x70,3.086430e+07,30.864300,3.239989e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x70.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,128,0x80,4.206779e+07,42.067790,2.377116e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x80.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,144,0x90,4.205576e+07,42.055760,2.377795e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x90.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,160,0xA0,4.365031e+07,43.650310,2.290934e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xA0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,176,0xB0,4.375911e+07,43.759110,2.285238e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xB0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,192,0xC0,5.322791e+07,53.227910,1.878714e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xC0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,208,0xD0,5.465694e+07,54.656940,1.829594e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xD0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,224,0xE0,6.050144e+07,60.501440,1.652853e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xE0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,240,0xF0,6.407181e+07,64.071810,1.560749e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xF0.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,255,0xFF,6.592044e+07,65.920440,1.516980e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0xFF.log,f vs. trim code at tt / 27 C / 3.3 V
pretrim,tt,typical,res_typical,mimcap_typical,-40,3,128,0x80,3.534006e+07,35.340060,2.829650e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,-40,3.3,128,0x80,3.727344e+07,37.273440,2.682875e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,-40,3.6,128,0x80,3.867244e+07,38.672440,2.585821e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3,128,0x80,3.997353e+07,39.973530,2.501656e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3.3,128,0x80,4.206779e+07,42.067790,2.377116e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,27,3.6,128,0x80,4.358550e+07,43.585500,2.294341e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,85,3,128,0x80,4.318711e+07,43.187110,2.315506e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,85,3.3,128,0x80,4.547940e+07,45.479400,2.198797e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,85,3.6,128,0x80,4.706414e+07,47.064140,2.124760e-08,ok,1200,sim/pvt/corners/20260906T030219Z/tt_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3,128,0x80,5.211538e+07,52.115380,1.918819e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3.3,128,0x80,5.409314e+07,54.093140,1.848663e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3.6,128,0x80,5.552777e+07,55.527770,1.800901e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3,128,0x80,5.946625e+07,59.466250,1.681626e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3.3,128,0x80,6.164337e+07,61.643370,1.622234e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3.6,128,0x80,6.275470e+07,62.754700,1.593506e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3,128,0x80,6.320638e+07,63.206380,1.582119e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3.3,128,0x80,6.512729e+07,65.127290,1.535455e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3.6,128,0x80,6.643456e+07,66.434560,1.505241e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ff_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3,128,0x80,2.480035e+07,24.800350,4.032201e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3.3,128,0x80,2.703592e+07,27.035920,3.698784e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3.6,128,0x80,2.848655e+07,28.486550,3.510428e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3,128,0x80,2.802267e+07,28.022670,3.568539e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3.3,128,0x80,2.998335e+07,29.983350,3.335185e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3.6,128,0x80,3.132477e+07,31.324770,3.192362e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3,128,0x80,3.033749e+07,30.337490,3.296251e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3.3,128,0x80,3.234116e+07,32.341160,3.092035e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3.6,128,0x80,3.382095e+07,33.820950,2.956747e-08,ok,1200,sim/pvt/corners/20260906T030219Z/ss_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,-40,3,128,0x80,4.369115e+07,43.691150,2.288793e-08,ok,1200,sim/pvt/corners/20260906T030219Z/fs_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,-40,3.3,128,0x80,4.444467e+07,44.444670,2.249988e-08,ok,1200,sim/pvt/corners/20260906T030219Z/fs_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
